Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count
Dirofilariaeformia,0,1.0,0
Dirofilarionema,0,1.0,0
Discocriconemella,5,31.0,40
Discoditis,0,2.0,2
Discolaimium,2,36.0,50
Discolaimoides,3,16.0,19
Discolaimus,13,42.0,50
Discomermis,0,1.0,1
Discomyctus,0,10.0,10
Disconema,0,8.0,9
Discopersicus,2,0.0,1
Discotylenchus,5,10.0,9
Dispharynx,2,0,5
Dispira,0,1.0,1
Distolabrellus,3,3.0,7
Ditlevsenella,0,4.0,5
Ditremamermis,0,2.0,2
Ditylenchus,121,89.0,50
Divisispiculimermis,0,1.0,0
Diximermis,0,1.0,2
Doanhnema,0,0.0,5
Dogielophis,0,1.0,0
Dolichodera,1,1.0,1
Dolichodorus,6,20.0,26
