ImageIndex,record_id,processid,specimen_identifiers,identification_method,phylum,class,order,family,genus,species,sex,lifestage,lat,lon,site_code,caption,media_descriptor,image_file,copyright_institution,photographer
ImgIndex_0468,7009978,CRICO319-16,NID-N1360,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1360_2+1523910688.jpg,University of Nebraska,Tom Powers
ImgIndex_0469,7009978,CRICO319-16,NID-N1360,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1360_1+1523910662.jpg,University of Nebraska,Tom Powers
ImgIndex_0470,7009978,CRICO319-16,NID-N1360,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile midbody cuticle with crenations,Midbody,http://www.boldsystems.org/pics/CRICO/NID1360_4+1523910738.jpg,University of Nebraska,Tom Powers
ImgIndex_0471,7009978,CRICO319-16,NID-N1360,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile tail,Tail,http://www.boldsystems.org/pics/CRICO/NID1360_3+1523910714.jpg,University of Nebraska,Tom Powers
ImgIndex_0472,7009979,CRICO320-16,NID-N1361,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema xenoplax HG13,F,Adult,38.9596,-77.1428,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1361_1+1523988468.jpg,University of Nebraska,Tom Powers
ImgIndex_0473,7009979,CRICO320-16,NID-N1361,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema xenoplax HG13,F,Adult,38.9596,-77.1428,,Female midbody cuticle,Midbody,http://www.boldsystems.org/pics/CRICO/NID1361_2+1523988492.jpg,University of Nebraska,Tom Powers
ImgIndex_0474,7009980,CRICO321-16,NID-N1362,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,,Juvenile,40.6932,-96.8494,,juvenile entire body 400X magnification,Entire body,http://www.boldsystems.org/pics/CRICO/NID1362_1+1466626006.jpg,University of Nebraska,Tom Powers
ImgIndex_0475,7009980,CRICO321-16,NID-N1362,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,,Juvenile,40.6932,-96.8494,,juvenile tail molting cuticle 1000X magnification,Tail,http://www.boldsystems.org/pics/CRICO/NID1362_4+1466626294.jpg,University of Nebraska,Tom Powers
ImgIndex_0476,7009980,CRICO321-16,NID-N1362,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,,Juvenile,40.6932,-96.8494,,juvenile head molting 1000X magnification,Head,http://www.boldsystems.org/pics/CRICO/NID1362_2+1466626088.jpg,University of Nebraska,Tom Powers
ImgIndex_0477,7009980,CRICO321-16,NID-N1362,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,,Juvenile,40.6932,-96.8494,,juvenile midbody cuticle with scales 1000X magnification,Midbody,http://www.boldsystems.org/pics/CRICO/NID1362_3+1466626194.jpg,University of Nebraska,Tom Powers
ImgIndex_0478,7009981,CRICO322-16,NID-N1363,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.6932,-96.8494,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1363_1+1523988680.jpg,University of Nebraska,Tom Powers
ImgIndex_0479,7009981,CRICO322-16,NID-N1363,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.6932,-96.8494,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1363_2+1523988738.jpg,University of Nebraska,Tom Powers
ImgIndex_0480,7009982,CRICO323-16,NID-N1364,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1364_3+1523989260.jpg,University of Nebraska,Tom Powers
ImgIndex_0481,7009982,CRICO323-16,NID-N1364,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1364_4+1523989316.jpg,University of Nebraska,Tom Powers
ImgIndex_0482,7009982,CRICO323-16,NID-N1364,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1364_1+1523989060.jpg,University of Nebraska,Tom Powers
