Reference,Species,Confirmation,n,type,LGT (mm),a,b,b',c,c',V,T,STY μm,spicules,gubernaculum,DHV,STA,m,DGO,BBE,OVI,OGO,EXPO,DVU,ANW,LFW,TAIL,DAN,ANT,FRW,ANP,PRO,HAB,ANL,LIP,INC,TSH,KBS,APR,Tipann,Vann,ARO
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bhattii Siddiqi, Dabur & Bajaj, 1991","Siddiqi et al., 1991",10,females,0.48,28.0,5.7,4.4,17.0,2.5,73.0,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bhattii Siddiqi, Dabur & Bajaj, 1991","Siddiqi et al., 1991",11,males,0.42,28.0,5.0,3.9,18.0,,,,13.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bolivianus Corbett, 1983","Corbett, 1983",,Female holotype,0.61,25.0,5.4,4.0,22.0,,82.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bolivianus Corbett, 1983","Corbett, 1983",15,females,0.59,27.0,5.2,4.1,19.0,,81.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bolivianus Corbett, 1983","Valenzuela & Raski, 1985",12,females,0.63,31.0,7.8,,18.0,,82.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brachyurus (Godfrey, 1929) Filipjev & Schuurmans Stekhoven, 1941","Loof, 1960",,Females,0.57,22.00,7.5,,15.5,,85.5,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brachyurus (Godfrey, 1929) Filipjev & Schuurmans Stekhoven, 1941","Sher & Allen, 1953",,Males,0.51,28.0,6.0,,21.0,,,52.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brachyurus (Godfrey, 1929) Filipjev & Schuurmans Stekhoven, 1941","Van den Berg, 1971",12,Females,0.56,20.0,3.9,,19.0,,86.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brachyurus (Godfrey, 1929) Filipjev & Schuurmans Stekhoven, 1941","Ryss, 1988",7,Females,0.55,21.0,7.0,,21.0,2.0,85.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brzeskii Karssen,Waeyenberge & Moens, 2000","Karssen et al., 2000",20,females,0.69,28.0,7.7,,14.3,,77.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
