Genus,Species Count
Yubeldus,1
Yunqueus,1
Afronygus,1
Aquatides,16
Clavicuadoides,11
Laevides,12
Nygolaimus,38
Paranygolaimus,2
Paravulvus,18
Clavicauda,4
Feroxides,1
Solididens,8
Nygellus,5
Aetholaimus,5
Nygolaimellus,6
Scapidens,1
Nygolaimium,3
Bathyodontus,3
Cryptonchus,4
Mononchulus,2
Oionchus,2
Rahmium,1
Anatonchus,13
Micatonchus,3
Tigronchoides,9
Truxonchus,8
Crassibucca,4
Crassonchus,12
Doronchus,2
Miconchus,1
Paracrassibucca,1
Promiconchus,3
Caputonchus,1
Iotonchus,89
Iotonchulus,4
Jensenonchus,6
Mulveyellus,5
Nullonchus,4
Hadronchoides,2
Hadronchulus,3
Hadronchus,2
Parahadronchus,10
Prionchulellus,1
Mononchus,33
Montonchus,1
Paramononchus,6
Nigronchus,1
Thorneum,1
Clarkus,12
Coomansus,21
Parkellus,10
Prionchulus,31
Brachonchulus,1
Crestonchulus,1
Margaronchuloides,1
Margaronchulus,1
Megaonchulus,1
Mylonchulus,67
Oligonchulus,1
Paramylonchulus,15
Polyonchulus,2
Actus,6
Granonchulus,4
Judonchulus,3
Prionchuloides,1
Sporonchulus,4
Cobbonchulus,1
Cobbonchus,32
Tricaenonchus,1
Amphidomermis,1
Schmassmannimermis,1
Amphimermis,23
Arachnomermis,4
Linstowimermis,3
Bathymermis,5
Eumermis,2
Lugamermis,2
Ceratomermis,1
Eurymermis,8
Decamermis,1
Hexamermis,36
Anomalomermis,4
Melolonthinimermis,5
Mermis,10
Oesophagomermis,4
Tunicamermis,3
Abathymermis,6
Agamermis,6
Agamomermis,10
Allomermis,3
Amphibiomermis,6
Aphanimermis,1
Aquaemermis,3
Aranimermis,3
Austromermis,1
Baikalomermis,1
Blepharomermis,1
Camponotimermis,0
Capitomermis,7
Chrysomelimermis,1
Cretacimermis,5
Culicimermis,3
Dentomermis,1
Dipteromermis,1
Discomermis,1
Ditremamermis,2
Divisispiculimermis,1
Diximermis,1
Drilomermis,1
Echinomermella,2
Eomermis,1
Gammaromermis,3
Gastromermis,82
Gordiomermis,1
Gubernaculimermis,1
Heleidomermis,4
Heydenius,26
Hydromermis,50
Idioblaptus,1
Imosmermis,1
Ipatjevimermis,1
Isomermis,11
Isthmusimermis,6
Lanceimermis,23
Limnomermis,28
Longimermis,1
Megalomermis,1
Meximermis,1
Nanomermis,3
Neomesomermis,5
Notonectomermis,1
Octomermis,2
Octomyomermis,13
Odonatomermis,3
Onchiomermis,1
Orthomermis,1
Ovomermis,5
Pentatomimermis,1
Perutilimermis,1
Pheromermis,10
Phreatomermis,1
Psammomermis,12
Psyllomermis,2
Pulicimermis,1
Quadrimermis,3
Reesimermis,2
Rhynchomermis,1
Romanomermis,17
Schuurmanimermis,2
Scirtimermis,1
Simulimermis,1
Skrjabinomermis,4
Spiculimermis,12
Steinimermis,1
Strelkovimermis,11
Teleomermis,2
Terromermis,2
Tetradomermis,9
Tetramermis,3
Thalassomermis,1
Thaumamermis,2
Thraustomermis,1
Tokobaevimermis,1
Torsiomermis,1
Trophomermis,1
Utriculimermis,1
Welchimermis,1
Mesomermis,45
Neomermis,2
Neolimnomermis,6
Paramermis,8
Pseudomermis,7
Aproctonema,3
Bispiculum,1
Bissonema,1
Brevinema,1
Corethrellonema,1
Crassinema,1
Didilia,1
Heterogonema,1
Mermithonema,1
Myrmeconema,3
Nematimermis,1
Palaeotetradonema,4
Paraproctonema,1
Tetradonema,2
Trichonema,1
Aulolaimus,26
Mehdilaimus,1
Pseudoaulolaimus,1
Isolaimium,11
Aonchotheca,60
Baruscapillaria,36
Capillaria,168
Chondronema,1
Crocodylocapillaria,1
Eucoleus,34
Freitascapillaria,1
Gessyella,1
Indocapillaria,1
Lobocapillaria,4
Nematoideum,1
Ornithocapillaria,7
Paracapillaria,21
Paracapillaroides,0
Piscicapillaria,9
Pseudocapillaria,27
Pterothominx,22
Schulmanela,1
Tridentocapillaria,5
Undescribed,15
Cystoopsis,3
Dioctowittus,4
Brevithominx,0
Echinocoleus,5
Hepatospina,1
Trichinella,11
Anatrichosoma,5
Huffmanela,17
Paratrichosoma,2
Trichosomoides,4
Trichuroides,1
Capillostrongyloides,9
Orthothominx,1
Pearsonema,4
Sclerotrichum,1
Tenoranema,5
Trichuris,107
Acronema,1
Ananus,1
Aborjinia,0
Marimermis,1
Thalassonema,2
Dioctophyme,1
Eustrongylides,17
Hystrichis,7
Neostrongyloides,2
Soboliphyme,10
Lukonema,1
Maseria,1
Muspicea,2
Pennisia,1
Riouxgolvania,3
Durikainema,2
Haycocknema,1
Lappnema,1
Robertdollfusa,2
Algoanema,1
Atrochromadora,5
Chromadora,29
Chromadorella,14
Chromadorina,27
Macrochromadora,1
Prochromadora,10
Prochromadorella,33
Punctodora,5
Rhabdotoderma,1
Timmia,3
Trichromadora,3
Actinonema,5
Crestanema,1
Endeolophos,5
Euchromadora,26
Euchromanema,2
Graphonema,10
Nygmatonchus,1
Parapinnanema,1
Portmacquaria,1
Rhips,9
Steineridora,4
Trochamus,5
Harpagonchoides,1
Harpagonchus,2
Chromadorissa,3
Chromadorita,38
Dasylaimus,1
Deltanema,1
Denticulella,4
Dichromadora,2
Hypodontolaimus,30
Innocuonema,10
Karkinochromadora,1
Megadontolaimus,2
Neochromadora,32
Panduripharynx,3
Parachromadorita,1
Paradichromadora,1
Ptycholaimellus,26
Spilophorella,14
Acantholaimus,57
Spiliphera,9
Trichromadorita,2
Tridentellia,1
Ethmodora,1
Ethmolaimus,17
Filitonchoides,1
Paraethmolaimus,8
Nemavermes,2
Comesa,11
Filitonchus,3
Gomphionchus,1
Gomphionema,4
Neotonchus,6
Achromadora,24
Kreisonema,1
Paradoxolaimus,1
Biarmifer,3
Boreomicrolaimoides,1
Cyatholaimus,26
Cyathoshiva,2
Dentatonema,1
Dispira,1
Isacanthonchus,1
Kraspedonema,1
Longicyatholaimus,16
Marylynnia,21
Metacyatholaimus,9
Micracanthonchus,1
Nannolaimoides,2
Nannolaimus,3
Paracyatholaimoides,3
Paralongicyatholaimus,5
Paramarylynnia,1
Phyllolaimus,2
Pomponema,32
Praeacanthonchus,6
Xenocyatholaimus,1
Xyzzors,3
Acanthonchus,3
Seuratiella,1
Paracanthonchus,80
Paracyatholaimus,32
Paramicrolaimus,9
Cheironchus,8
Demonema,1
Kosswigonema,1
Pseudocheironchus,1
Selachinema,1
Synonchiella,18
Synonchium,8
Trogolaimus,5
Pteronium,1
Richtersia,20
Choniolaimus,5
Bendiella,6
Choanolaimus,1
Cobbionema,5
Gammanema,14
Halichoanolaimus,36
Latronema,10
Nunema,1
Acanthophryngoides,6
Acanthopharynx,15
Adelphos,1
Amphispira,1
Bolbonema,11
Cornurella,1
Croconema,19
Desmodora,78
Desmodorella,14
Echinodesmodora,3
Metadesmodora,2
Micromicron,1
Onepunema,4
Paradesmodora,7
Psammonema,5
Pseudochromadora,14
Pseudodesmodora,3
Sibayinema,1
Spinonema,6
Zalonema,9
Laxonema,1
Parathalassoalaimus,1
Prodesmodora,10
Xenonema,1
Pseudonchus,11
Alaimonema,1
Bradylaimus,1
Chromadoropsis,5
Chromaspirina,27
Metachromadora,39
Metachromadoroides,39
Onyx,13
Papillonema,2
Parallelocoilas,1
Perspiria,1
Polysigma,2
Pseudometachromadora,2
Sigmophoranema,4
Spirinia,20
Spirodesma,1
Stygodesmodora,12
Catanema,4
Eubostrichus,12
Laxus,9
Leptonemella,11
Robbea,9
Squanema,1
Stilbonema,3
Akanthepsilonema,2
Archepsilonema,8
Bathyepsilonema,26
Epsilonema,115
Leptepsilonema,10
Metepsilonema,17
Perepsilonema,9
Polkepsilonema,3
Pternepsilonema,1
Triepsilonema,1
Glochinema,6
Keratonema,1
Metaglochinema,1
Dracograllus,21
Draconema,22
Dracotoronema,1
Paradraconema,8
Tenuidraconema,3
Apenodraconema,2
Bathychaetosoma,1
Cephalochaetosoma,1
Cygnonema,1
Dinetia,2
Dracogalerus,3
Dracognomus,7
Draconactus,2
Notochatosoma,1
Prochaetosoma,13
Acanthomicrolaimus,1
Aponema,9
Bathynox,1
Bolbolaimus,16
Caligocanna,1
Calomicrolaimus,1
Cinctonema,3
Crassolaimus,2
Ixonema,3
Maragnopsia,1
Macrodontium,1
Microlaimus,86
Spirobolbolaimus,4
Ungulilaimella,1
Molgolaimus,43
Aponchium,2
Synonema,10
Fusonema,1
Monoposthia,14
Monoposthioides,2
Nudora,15
Rhinema,2
Cyartonema,9
Desmolorenzenia,13
Desmoscolex,99
Pareudesmoscolex,3
Protricomoides,2
Spinodesmoscolex,1
Calligyrus,2
Captivonema,2
Greeffiella,11
Greeffiellopsis,1
Hapalomus,2
Progreeffiella,2
Eophasma,2
Boucherius,1
Gerlachius,2
Meylia,5
Noffsingeria,2
Antarcticonema,3
Desmotimmia,1
Desmotricoma,1
Haptotricoma,3
Paratricoma,4
Prototricoma,3
Protricoma,4
Quadricoma,32
Quadricomoides,5
Tricoma,90
Usarpnema,1
Cryonema,2
Diplolaimella,11
Diplolaimelloides,11
Eumonhystera,36
Gammarinema,8
Geomonhystera,39
Halomonhystera,36
Hieminema,1
Litotes,1
Longilaimus,2
Monhystera,65
Monhystrella,34
Monhystrium,5
Odontobius,1
Sinanema,3
Sitadevinema,1
Thalassomonhystera,41
Tridentulus,6
Tripylium,2
Corononema,2
Scaptrella,5
Ammotheristus,2
Amphimonhystera,7
Amphimonhystrella,3
Arabanema,1
Austronema,1
Cenolaimus,2
Cienfuegia,1
Cobbia,13
Dactylaimoides,1
Dactylaimus,1
Daptonema,167
Echinotheristus,2
Elzalia,13
Echonema,1
Filipjeva,7
Gnomoxyala,1
Gonionchus,14
Guitartia,1
Gullanema,1
Hofmaenneria,8
Lamyronema,1
Linhystera,6
Manganonema,12
Marisalbinema,1
Megalamphis,1
Metadesmolaimus,17
Omicronema,6
Paragnomoxyala,4
Paragonionchus,1
Paramonohystera,21
Paramphimonhystrella,15
Parelzalia,1
Promonhystera,2
Prorhynchonema,2
Pseudechinotheristus,1
Pseudelzalia,1
Pseudosteineria,13
Pulchranemella,1
Retrotheristus,1
Rhynchonema,34
Robustnema,1
Sacrimarinema,3
Sphaerotheristus,5
Spiramphinema,3
Steineria,19
Theristus,117
Trichotheristus,2
Valvaelaimus,2
Xenolaimus,2
Xyala,13
Zygonemella,1
Parasphaerolaimus,17
Buccolaimus,1
Doliolaimus,1
Metasphaerolaimus,11
Sphaerolaimus,46
Subsphaerolaimus,11
Astomonema,5
Parastomonema,2
Siphonolaimus,54
Solenolaimus,1
Anticyathus,6
Desmolaimoides,1
Desmolaimus,18
Linhomoella,1
Megadesmolaimus,8
Prosphaerolaimus,2
Pseudoterschellingia,1
Sarsonia,2
Terschellingia,41
Terschellingioides,6
Anticyclus,8
Aponcholaimus,1
Bathylaimella,1
Cryptolaimus,2
Chloronemella,1
Didelta,5
Disconema,8
Halinema,4
Linhomoeus,16
Metalinhomoeus,30
Monhysteroides,2
Nijhoffia,1
Paraegialoalaimus,1
Paralinhomoeus,41
Prolinhomoeus,1
Sphaerocephalum,3
Valvaelaimoides,4
Eleutherolaimus,27
Metalaimus,4
Thelonema,4
Fusivermis,1
Aequalodontium,1
Apodontium,4
Ascolaimus,3
Axonolaimus,36
Margonema,2
Namibnema,1
Nicascolaimus,1
Odontophora,38
Odontophoroides,3
Parascolaimus,5
Parodontophora,32
Pseudolella,16
Synodontium,4
Bodonema,1
Comesoma,13
Comesomoides,1
Dolichosomatum,1
Grahamius,1
Kenyanema,1
Metacomesoma,4
Minolaimus,2
Notosabatieria,1
Paracomesoma,14
Ungulilaimus,1
Dorylaimopsis,33
Expressonema,1
Hopperia,20
Metasabatiera,1
Paramesonchium,3
Vasostoma,3
Asynmelaimus,2
Cervonema,20
Laimella,7
Pierrickia,4
Sabatieria,106
Scholpaniella,1
Setosabatieria,13
Coninckia,5
Cylindrolaimus,22
Halicylindrolaimus,1
Linolaimus,1
Acmaeolaimus,1
Araeolaimus,34
Belgopeltula,1
Campylaimus,29
Diplopeltis,6
Diplopeltula,6
Intasia,7
Metaraeolaimoides,1
Mudwigglus,12
Morlaixia,2
Neodiplopeltula,14
Novadelonema,0
Pararaeolaimus,5
Pseudaraeolaimus,8
Southerniella,15
Striatodora,1
Alaimella,2
Anomonema,1
Antomicron,6
Cricolaimus,2
Dagda,1
