ImageName,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/eustica6.jpg,female,,,head,Anterior,,"Konza Prairie, Kansas",,Eumonhystera rustica,,,,,,
https://nematode.unl.edu/eustica7.jpg,female,,,vulva,,400X,,,Eumonhystera rustica,,,,,,
https://nematode.unl.edu/eustica8.jpg,female,,,tail,,,,Big bluestem,Eumonhystera rustica,,,,,,
https://nematode.unl.edu/eustica9.jpg,female,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Eumonhystera rustica,,,,,,
https://nematode.unl.edu/eumov1.jpg,female,,,head,Anterior,,,,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov2.jpg,female,,,tail,,,,Big bluestem,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov3.jpg,female,,,head,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov4.jpg,female,,,tail,,1000X,"Konza Prairie, Kansas",,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov5.jpg,female,,,vulva,,1000X,,,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov6.jpg,female,,,basal esophagus,,,,,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov7.jpg,female,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov8.jpg,juvenile,,,head,Anterior,1000x,"Konza Prairie, Kansas",Big bluestem,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/eumov9.jpg,juvenile,,,tail,,1000X,"Konza Prairie, Kansas",,Eumonhystera vulgaris,,,,,,
https://nematode.unl.edu/geomonae1.jpg,female,,,body,,40X,"Konza Prairie, Kansas",Bluegrass,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae2.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",Bluegrass,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae3.jpg,female,,,esophagus,Anterior,400X,"Konza Prairie, Kansas",Bluegrass,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae4.jpg,female,,,vulva,,400X,"Konza Prairie, Kansas",Bluegrass,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae5.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae6.jpg,female,,,head,Anterior,,"Konza Prairie, Kansas",,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae7.jpg,female,,,esophagus,Anterior,1000X,"Konza Prairie, Kansas",,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae8.jpg,female,,,vulva,,1000X,"Konza Prairie, Kansas",Bluegrass,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/geomonae9.jpg,female,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",,Geomonhystera aenariensis,,,,,,
https://nematode.unl.edu/gaust1.jpg,female,,,body,,100X,"La Selva Biological Station, Costa Rica",forest floor litter,Geomonhystera australis,,,,,,
https://nematode.unl.edu/gaust10.jpg,juvenile,,,spinneret,,1000x,"Costa Rica, La Selva Biological Station",soil,Geomonhystera australis,,,,,,
https://nematode.unl.edu/gaust2.jpg,female,,,body,,200x,"La Selva Biological Station, Costa Rica",forest floor litter,Geomonhystera australis,,,,,,
https://nematode.unl.edu/gaust3.jpg,female,,,head,Anterior,400X,"La Selva Biological Station, Costa Rica",forest floor litter,Geomonhystera australis,,,,,,
https://nematode.unl.edu/gaust4.jpg,female,,,tail,,400X,,forest floor litter,Geomonhystera australis,,,,,,
