Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count,GenBank Sequence Count
Austromermis,0,1.0,1,0
Austronema,0,1.0,1,0
Austrostrongylus,3,13.0,0,0
Austroxyuris,0,1.0,1,0
Authority,0,0.0,0,0
Avellaria,0,2.0,0,0
Aviculariella,0,4.0,0,0
Avifilaris,0,2.0,0,0
Avilandras,0,1.0,0,0
Avioserpens,0,4.0,2,0
Axonchium,9,39.0,50,0
Axonchoides,1,1.0,2,2
Axonolaimidae,22,0,0,0
Axonolaimus,15,36.0,48,0
Baikalomermis,0,1.0,9,0
Bainechina,0,1.0,0,0
Bairdascaris,0,1.0,0,0
Bakeria,0,3.0,1,0
Bakernema,2,2.0,6,0
Baladorylaimus,0,1.0,1,0
Baldwinema,3,0.0,3,0
Bancroftinema,0,1.0,0,0
Baqriella,0,3.0,2,0
Barbonema,0,3.0,4,0
Barracudia,0,4.0,3,0
Baruscapillaria,4,36.0,18,0
Basilaphelenchus,11,3.0,8,1
Basirella,0,1.0,1,0
Basiria,33,55.0,50,3
Basirotyleptus,0,44.0,34,0
Bastiania,4,9.0,9,0
Bathmostomum,0,1.0,0,0
Bathychaetosoma,0,1.0,1,0
Bathyepsilonema,0,26.0,18,0
Bathyeurystomina,11,4.0,3,0
Bathylaimella,0,1.0,1,0
Bathylaimus,33,35.0,43,0
Bathymermis,0,5.0,21,0
Bathynox,0,1.0,1,0
Bathyodontus,2,3.0,3,0
Batracholandros,2,4.0,5,0
Batrachonema,0,3.0,0,0
Batrachostrongylus,0,1.0,0,0
Baujardia,1,0.0,1,0
Bauruascaris,0,4.0,2,0
Baylisascaris,13,14.0,7,0
Bealius,1,4.0,1,0
Beaninema,0,0.0,0,0
Befilaria,0,2.0,0,0
Belaxellus,0,1.0,1,0
Belbolla,2,12.0,22,0
Belgopeltula,0,1.0,1,0
Bellodera,0,1.0,0,0
Belondira,6,47.0,48,0
Belondirella,0,2.0,3,0
Belondonygolaimellus,0,0.0,0,0
Belonolaimidae,1,0,0,0
Belonolaimus,7,5.0,11,4
Bendiella,1,6.0,3,0
Benthimermis,0,30.0,30,0
Berntsenus,0,2.0,0,0
